time_s,temperature_C,energy_kJ
247.0,32.0,49.6
248.0,32.0,49.8
249.0,32.0,50.0
250.0,32.0,50.2
251.0,32.0,50.4
252.0,32.0,50.6
253.0,32.0,50.8
254.0,32.0,51.0
255.0,32.0,51.2
256.0,32.0,51.4
257.0,32.0,51.6
258.0,32.0,51.8
259.0,32.0,52.0
260.0,32.0,52.2
261.0,32.0,52.4
262.0,32.0,52.6
263.0,32.0,52.8
264.0,32.0,53.0
265.0,32.0,53.2
266.0,32.0,53.4
267.0,32.0,53.6
268.0,32.0,53.8
269.0,32.0,54.0
270.0,32.0,54.2
271.0,32.0,54.4
272.0,32.0,54.6
273.0,32.0,54.8
274.0,32.0,55.0
275.0,32.0,55.2
276.0,32.0,55.4
277.0,32.0,55.6
278.0,32.0,55.8
279.0,32.0,56.0
280.0,32.0,56.2
281.0,32.0,56.4
282.0,32.0,56.6
283.0,32.0,56.8
284.0,32.0,57.0
285.0,32.0,57.2
286.0,32.0,57.4
287.0,32.0,57.6
288.0,32.0,57.8
289.0,32.0,58.0
290.0,32.0,58.2
291.0,32.0,58.4
292.0,32.0,58.6
293.0,32.0,58.8
294.0,32.0,59.0
295.0,32.0,59.2
296.0,32.0,59.4
297.0,32.0,59.6
298.0,32.0,59.8
299.0,32.0,60.0
300.0,32.0,60.2
301.0,32.0,60.4
302.0,32.0,60.6
303.0,32.0,60.8
304.0,32.0,61.0
305.0,32.0,61.2
306.0,32.0,61.4
307.0,32.0,61.6
308.0,32.0,61.8
309.0,32.0,62.0
310.0,32.0,62.2
311.0,32.0,62.4
312.0,32.0,62.6
313.0,32.0,62.8
314.0,32.0,63.0
315.0,32.0,63.2
316.0,32.0,63.4
317.0,32.0,63.6
318.0,32.0,63.8
319.0,32.0,64.0
320.0,32.0,64.2
321.0,32.0,64.4
322.0,32.0,64.6
323.0,32.0,64.8
324.0,32.0,65.0
325.0,32.0,65.2
326.0,32.0,65.4
327.0,32.0,65.6
328.0,32.0,65.8
329.0,32.0,66.0
330.0,32.0,66.2
331.0,32.0,66.4
332.0,32.0,66.6
333.0,32.0,66.8
334.0,32.0,67.0
335.0,32.0,67.2
336.0,32.0,67.4
337.0,32.0,67.6
338.0,32.0,67.8
339.0,32.0,68.0
340.0,32.0,68.2
341.0,32.0,68.4
342.0,32.0,68.6
343.0,32.0,68.8
344.0,32.0,69.0
345.0,32.0,69.2
346.0,32.0,69.4
347.0,32.0,69.6
348.0,32.0,69.8
349.0,32.0,70.0
350.0,32.0,70.2
351.0,32.0,70.4
352.0,32.0,70.6
353.0,32.0,70.8
354.0,32.0,71.0
355.0,32.0,71.2
356.0,32.0,71.4
357.0,32.0,71.6
358.0,32.0,71.8
359.0,32.0,72.0
360.0,32.0,72.2
361.0,32.0,72.4
362.0,32.0,72.6
363.0,32.0,72.8
364.0,32.0,73.0
365.0,32.0,73.2
366.0,32.0,73.4
367.0,32.0,73.6
368.0,32.0,73.8
369.0,32.0,74.0
370.0,32.0,74.2
371.0,32.0,74.4
372.0,32.0,74.6
373.0,32.0,74.8
374.0,32.0,75.0
375.0,32.0,75.2
376.0,32.0,75.4
377.0,32.0,75.6
378.0,32.0,75.8
379.0,32.0,76.0
380.0,32.0,76.2
381.0,32.0,76.4
382.0,32.0,76.6
383.0,32.0,76.8
384.0,32.0,77.0
385.0,32.0,77.2
386.0,32.0,77.4
387.0,32.0,77.6
388.0,32.0,77.8
389.0,32.0,78.0
390.0,32.0,78.2
391.0,32.0,78.4
392.0,32.0,78.6
393.0,32.0,78.8
394.0,32.0,79.0
395.0,32.0,79.2
396.0,32.0,79.4
397.0,32.0,79.6
398.0,32.0,79.8
399.0,32.0,80.0
400.0,32.0,80.2
401.0,32.0,80.4
402.0,32.0,80.6
403.0,32.0,80.8
404.0,32.0,81.0
405.0,32.0,81.2
406.0,32.0,81.4
407.0,32.0,81.6
408.0,32.0,81.8
409.0,32.0,82.0
410.0,32.0,82.2
411.0,32.0,82.4
412.0,32.0,82.6
413.0,32.0,82.8
414.0,32.0,83.0
415.0,32.0,83.2
416.0,32.0,83.4
417.0,32.0,83.6
418.0,32.0,83.8
419.0,32.0,84.0
420.0,32.0,84.2
421.0,32.0,84.4
422.0,32.0,84.6
423.0,32.0,84.8
424.0,32.0,85.0
425.0,32.0,85.2
426.0,32.0,85.4
427.0,32.0,85.6
428.0,32.0,85.8
429.0,32.0,86.0
430.0,32.0,86.2
431.0,32.0,86.4
432.0,32.0,86.6
433.0,32.0,86.8
434.0,32.0,87.0
435.0,32.0,87.2
436.0,32.0,87.4
437.0,32.0,87.6
438.0,32.0,87.8
439.0,32.0,88.0
440.0,32.0,88.2
441.0,32.0,88.4
442.0,32.0,88.6
443.0,32.0,88.8
444.0,32.0,89.0
445.0,32.0,89.2
446.0,32.0,89.4
447.0,32.0,89.6
448.0,32.0,89.8
449.0,32.0,90.0
450.0,32.0,90.2
451.0,32.0,90.4
452.0,32.0,90.6
453.0,32.0,90.8
454.0,32.0,91.0
455.0,32.0,91.2
456.0,32.0,91.4
457.0,32.0,91.6
458.0,32.0,91.8
459.0,32.0,92.0
460.0,32.0,92.2
461.0,32.0,92.4
462.0,32.0,92.6
463.0,32.0,92.8
464.0,32.0,93.0
465.0,32.0,93.2
466.0,32.0,93.4
467.0,32.0,93.6
468.0,32.0,93.8
469.0,32.0,94.0
470.0,32.0,94.2
471.0,32.0,94.4
472.0,32.0,94.6
473.0,32.0,94.8
474.0,32.0,95.0
475.0,32.0,95.2
476.0,32.0,95.4
477.0,32.0,95.6
478.0,32.0,95.8
479.0,32.0,96.0
480.0,32.0,96.2
481.0,32.0,96.4
482.0,32.0,96.6
483.0,32.0,96.8
484.0,32.0,97.0
485.0,32.0,97.2
486.0,32.0,97.4
487.0,32.0,97.6
488.0,32.0,97.8
489.0,32.0,98.0
490.0,32.0,98.2
491.0,32.0,98.4
492.0,32.0,98.6
493.0,32.0,98.8
494.0,32.0,99.0
495.0,32.0,99.2
496.0,32.0,99.4
497.0,32.0,99.6
498.0,32.0,99.8
499.0,32.0,100.0
500.0,32.0,100.2
501.0,32.0,100.4
502.0,32.0,100.6
503.0,32.0,100.8
504.0,32.0,101.0
505.0,32.0,101.2
506.0,32.0,101.4
507.0,32.0,101.6
508.0,32.0,101.8
509.0,32.0,102.0
510.0,32.0,102.2
511.0,32.0,102.4
512.0,32.0,102.6
513.0,32.0,102.8
514.0,32.0,103.0
515.0,32.0,103.2
516.0,32.0,103.4
517.0,32.0,103.6
518.0,32.0,103.8
519.0,32.0,104.0
520.0,32.0,104.2
521.0,32.0,104.4
522.0,32.0,104.6
523.0,32.0,104.8
524.0,32.0,105.0
525.0,32.0,105.2
526.0,32.0,105.4
527.0,32.0,105.6
528.0,32.0,105.8
529.0,32.0,106.0
530.0,32.0,106.2
531.0,32.0,106.4
532.0,32.0,106.6
533.0,32.0,106.8
534.0,32.0,107.0
535.0,32.0,107.2
536.0,32.0,107.4
537.0,32.0,107.6
538.0,32.0,107.8
539.0,32.0,108.0
540.0,32.0,108.2
541.0,32.0,108.4
542.0,32.0,108.6
543.0,32.0,108.8
544.0,32.0,109.0
545.0,32.0,109.2
546.0,32.0,109.4
547.0,32.0,109.6
548.0,32.0,109.8
549.0,32.0,110.0
550.0,32.0,110.2
551.0,32.0,110.4
552.0,32.0,110.6
553.0,32.0,110.8
554.0,32.0,111.0
555.0,32.0,111.2
556.0,32.0,111.4
557.0,32.0,111.6
558.0,32.0,111.8
559.0,32.0,112.0
560.0,32.0,112.2
561.0,32.0,112.4
562.0,32.0,112.6
563.0,32.0,112.8
564.0,32.0,113.0
565.0,32.0,113.2
566.0,32.0,113.4
567.0,32.0,113.6
568.0,32.0,113.8
569.0,32.0,114.0
570.0,32.0,114.2
571.0,32.0,114.4
572.0,32.0,114.6
573.0,32.0,114.8
574.0,32.0,115.0
575.0,32.0,115.2
576.0,32.0,115.4
577.0,32.0,115.6
578.0,32.0,115.8
579.0,32.0,116.0
580.0,32.0,116.2
581.0,32.0,116.4
582.0,32.0,116.6
583.0,32.0,116.8
584.0,32.0,117.0
585.0,32.0,117.2
586.0,32.0,117.4
587.0,32.0,117.6
588.0,32.0,117.8
589.0,32.0,118.0
590.0,32.0,118.2
591.0,32.0,118.4
592.0,32.0,118.6
593.0,32.0,118.8
594.0,32.0,119.0
595.0,32.0,119.2
596.0,32.0,119.4
597.0,32.0,119.6
598.0,32.0,119.8
599.0,32.0,120.0
600.0,32.0,120.2
601.0,32.0,120.4
602.0,32.0,120.6
603.0,32.0,120.8
604.0,32.0,121.0
605.0,32.0,121.2
