time_s,temperature_C,energy_kJ
271.0,52.20000000000039,54.4
272.0,52.30000000000039,54.6
273.0,52.40000000000039,54.8
274.0,52.50000000000039,55.0
275.0,52.60000000000039,55.2
276.0,52.700000000000394,55.4
277.0,52.800000000000395,55.6
278.0,52.9000000000004,55.8
279.0,53.0000000000004,56.0
280.0,53.1000000000004,56.2
281.0,53.2000000000004,56.4
282.0,53.3000000000004,56.6
283.0,53.400000000000404,56.8
284.0,53.500000000000405,57.0
285.0,53.600000000000406,57.2
286.0,53.70000000000041,57.4
287.0,53.80000000000041,57.6
288.0,53.90000000000041,57.8
289.0,54.00000000000041,58.0
290.0,54.10000000000041,58.2
291.0,54.200000000000415,58.4
292.0,54.300000000000416,58.6
293.0,54.40000000000042,58.8
294.0,54.50000000000042,59.0
295.0,54.60000000000042,59.2
296.0,54.70000000000042,59.4
297.0,54.80000000000042,59.6
298.0,54.900000000000425,59.8
299.0,55.000000000000426,60.0
300.0,55.0,60.2
301.0,55.0,60.4
302.0,55.0,60.6
303.0,55.0,60.8
304.0,55.0,61.0
305.0,55.0,61.2
306.0,55.0,61.4
307.0,55.0,61.6
308.0,55.0,61.8
309.0,55.0,62.0
310.0,55.0,62.2
311.0,55.0,62.4
312.0,55.0,62.6
313.0,55.0,62.8
314.0,55.0,63.0
315.0,55.0,63.2
316.0,55.0,63.4
317.0,55.0,63.6
318.0,55.0,63.8
319.0,55.0,64.0
320.0,55.0,64.2
321.0,55.0,64.4
322.0,55.0,64.6
323.0,55.0,64.8
324.0,55.0,65.0
325.0,55.0,65.2
326.0,55.0,65.4
327.0,55.0,65.6
328.0,55.0,65.8
329.0,55.0,66.0
330.0,55.0,66.2
331.0,55.0,66.4
332.0,55.0,66.6
333.0,55.0,66.8
334.0,55.0,67.0
335.0,55.0,67.2
336.0,55.0,67.4
337.0,55.0,67.6
338.0,55.0,67.8
339.0,55.0,68.0
340.0,55.0,68.2
341.0,55.0,68.4
342.0,55.0,68.6
343.0,55.0,68.8
344.0,55.0,69.0
345.0,55.0,69.2
346.0,55.0,69.4
347.0,55.0,69.6
348.0,55.0,69.8
349.0,55.0,70.0
350.0,55.0,70.2
351.0,55.0,70.4
352.0,55.0,70.6
353.0,55.0,70.8
354.0,55.0,71.0
355.0,55.0,71.2
356.0,55.0,71.4
357.0,55.0,71.6
358.0,55.0,71.8
359.0,55.0,72.0
360.0,55.0,72.2
361.0,55.0,72.4
362.0,55.0,72.6
363.0,55.0,72.8
